gene,log2FC,p_value,q_value
CPXM1,0.0758917,0.004885364391590722,0.00902024444532999
GRIA1,0.071146116,0.004904477365952313,0.009048851228694303
MESTIT1,0.095211565,0.004903959801173262,0.009048851228694303
TTC24,-0.361899,0.004917736259065847,0.009069967279723066
H19,-0.28631184,0.004944295290428221,0.009115588662293918
P2RY11,-0.07279198,0.004954085363089569,0.00913027158696935
SLC29A2,0.074443005,0.004957557396149335,0.009133303972272173
KCNJ2,-0.07463046,0.004974142767938164,0.009160483918854814
SOX1,0.07696561,0.004979698203444796,0.009167338371584675
KIAA1239,0.30226505,0.0049939049279801575,0.009190108443099296
MMP2,-0.051755764,0.005014278154933496,0.009224205583027036
FLJ37307,0.1685797,0.005045178092308314,0.009275030066587815
SYCE1L,-0.31064576,0.005045616356223772,0.009275030066587815
SLC15A2,-0.057880186,0.0050724431561841405,0.009317492939353675
PRAME,-0.9109262,0.005072326876600492,0.009317492939353675
SRPK3,0.07740723,0.005082272733062067,0.009328694443946527
SCARNA2,-0.2719348,0.005081344146165561,0.009328694443946527
ONECUT2,0.10649857,0.005096767653556768,0.009351867254232602
C9orf135,-0.6692643,0.005112175095100492,0.009376696799524013
PGF,0.0912181,0.005120431144370037,0.009388395937605494
C10orf35,-0.1100078,0.005131447701626805,0.009405146080694291
LOC285780,0.38479862,0.005181862998825518,0.009494069253985925
STK32A,0.0865851,0.005189952603131784,0.009505407698043561
GPRC5A,-0.2546607,0.005197654379257588,0.009516027790658346
PKP1,0.2771591,0.005332333505599775,0.009759029109809251
CDH23,-0.0813883,0.005351237639156102,0.009790043247632826
LAMB3,0.071898475,0.0053704561332948405,0.009818114770983726
VSIG1,0.28651813,0.0053705087797280985,0.009818114770983726
EFHD1,-0.048734497,0.005378086121923234,0.009828373760824623
LYZ,-0.122350864,0.005381799965370714,0.009831567346311134
CCDC122,-0.16938132,0.005393332057111756,0.009849035896843966
SKA1,-0.17130351,0.005398919784625662,0.009855640351635017
NEFH,0.11303167,0.005420022837520391,0.009886944249398743
KLK5,0.47767663,0.005418095762424799,0.009886944249398743
CXCL2,-0.13382934,0.005435656434956386,0.009911846161481374
ALS2CR12,-0.19595507,0.005454774797221163,0.009943082021912438
SYT5,0.10696718,0.005480549634484835,0.009986424261087527
C11orf82,-0.09977846,0.005493631466394907,0.010006614692886896
TSHZ2,-0.17160818,0.005550531128424085,0.010106575252046767
FAM153A,0.32617107,0.005554417440661603,0.010109969859231167
STAT4,0.23102397,0.005568984915831811,0.010132796426185975
MT1E,-0.06742045,0.005595457567450966,0.010177260035378258
HOXC11,-1.1396902,0.005612606276178864,0.01020473868396157
MGAT5,0.082238875,0.0056480515987863645,0.010265451833490303
PCSK1N,0.052754432,0.005651355813907593,0.010267724952593737
C10orf140,-0.13607189,0.005654767931394297,0.010270192392652193
COL9A3,-0.10828989,0.005662318291991216,0.01028017119097897
?|728788,-0.29632652,0.005675032333770774,0.010299514217369824
PRKCG,0.17052017,0.005690371688377579,0.010323606110989803
SH3GL2,0.07304452,0.00569850380742057,0.010334609734168608
TPSAB1,0.5418487,0.005701777491608505,0.010336797482974084
RERGL,0.08563713,0.005762914131073714,0.010440061831655278
SLC39A4,-0.09981661,0.0057616477891644395,0.010440061831655278
MPP6,0.08207155,0.005783350558349992,0.010469868242210122
ARSJ,-0.13095473,0.005783555216996871,0.010469868242210122
GPX8,-0.17448518,0.005802682950080736,0.010500692996888774
MED12L,0.081799865,0.00585833901801491,0.010597574200461125
KLHDC8A,-0.0687347,0.00587034855298863,0.010615458504500234
SFRP1,0.10134576,0.005890426258832519,0.010647914423052275
KIAA0748,0.30730367,0.005909617097671997,0.010678744303707981
SHISA2,-0.15122062,0.005970115601368558,0.010784168355073263
POLQ,-0.16364159,0.006014889520667071,0.010861122283616959
GRAMD2,0.122255795,0.006025933796572072,0.010877136816917097
RERG,0.09732457,0.0060315002157159394,0.010883255531786248
NEU4,0.07620658,0.006085439215743099,0.010976621962018578
KIF5A,0.062245626,0.006117412014151696,0.011022363989462516
ZNF492,0.20022154,0.006117406931732922,0.011022363989462516
DSG2,-0.4269446,0.006115389888079849,0.011022363989462516
C10orf114,-0.100575216,0.006162339880937978,0.011099315347510767
CD1D,-0.12664038,0.006165102142269316,0.01110029193782736
CDKN2C,-0.06552184,0.0061694898793702565,0.011104193447390671
RHOXF1,-0.32998416,0.006199784823319531,0.011154704611945902
SLC32A1,0.20186652,0.006216239626786115,0.011180287098536178
KIRREL2,0.11759348,0.006238124848168706,0.011215614613751718
C6orf105,0.31889665,0.006271959223790606,0.011268643598429811
HTR3A,0.53306484,0.006272127026886033,0.011268643598429811
LOC644165,0.12520187,0.00629651337347236,0.011308393271322487
C2CD4A,-0.36101696,0.00630466329996903,0.01131413123643218
UGT8,0.07141883,0.006302740858189463,0.01131413123643218
MYADML2,0.12978972,0.006306496751187297,0.01131413123643218
PRSS16,0.4336662,0.006347746634101322,0.011384050635045414
SEC31B,0.058678158,0.006370257869757018,0.01142032604832739
MYLK,-0.053285908,0.006382269791883099,0.011437759483661467
SLC7A5P1,0.35423094,0.006439489218836658,0.01153616843216886
ANKRD56,0.29297903,0.006514642225597889,0.011662699565203119
FREM2,-0.12369609,0.0065147839771224625,0.011662699565203119
PCDHA9,0.2519903,0.006525834519853786,0.011674122575767058
GABRE,-0.15657516,0.006525425076290588,0.011674122575767058
PAPPA2,-0.18710776,0.006614094995291732,0.011827780749806387
HAPLN3,-0.081398495,0.006641034621645674,0.011871710085172817
DHDPSL,0.07877382,0.0066687619565038835,0.011912758050203438
FRMPD2L1,0.62561077,0.006668186529719005,0.011912758050203438
CCDC42B,-0.30190095,0.0066711476651102955,0.011912763687696955
KIAA0754,-0.09638942,0.006724434864711143,0.012003632389702146
SLC24A2,0.14648306,0.006734816124908868,0.012017873170786703
RGS4,0.12736213,0.006821633505698713,0.0121684507772007
IL1RN,-0.22373505,0.006847180023662196,0.012209664806815615
FKBP9L,-0.113207266,0.006868673407639007,0.012243624612547249
EPB49,0.069266684,0.006900462444704916,0.012295905995554019
GPNMB,-0.094023995,0.006961511790000454,0.012400270377628168
CLEC10A,-0.32095188,0.007017722876340996,0.012495945292629979
ANO3,0.150984,0.007042689170194028,0.012535936579199053
DLX1,0.16908227,0.007093764474164812,0.01262235671559575
SLC6A15,0.1616023,0.007101664718950991,0.012631918745910692
GPR52,0.6344117,0.007107984471337172,0.012638663711481458
SAMD3,-0.29154858,0.007173654059824537,0.01274636471184175
RHOF,-0.114785865,0.007173322727313943,0.01274636471184175
FOXP2,-0.19646333,0.007195809602025246,0.012781189346403635
SCNN1B,-0.468845,0.007211209762742843,0.012803994607142832
COL4A1,-0.084974445,0.007293824476144476,0.01294279077112338
KLHL29,0.08679823,0.007294556878605136,0.01294279077112338
CD97,-0.057556372,0.00733060068004636,0.013002129620515007
APOD,0.0512189,0.007334992613672532,0.013005306052610873
GSG2,-0.17532818,0.007350947356423849,0.013028974399900476
CDC25C,-0.2054464,0.007361514440034731,0.013043080155979325
SRD5A2,-0.43057895,0.007381757697390817,0.013074314023008887
C16orf74,-0.12241883,0.007391261369457495,0.013086510923260438
TRPC4,0.14857168,0.007444088787006116,0.013175378384081622
RYR2,0.17590478,0.0074813014481121464,0.013236555994536705
P4HA3,-0.2499687,0.0074959596092235336,0.013257799096610423
ESRP1,0.3899612,0.00750903239326996,0.013276224174805446
PRRG4,-0.12158194,0.0075574276806895276,0.013357065536743599
ADAT3,-0.10258344,0.0075748832277618555,0.013383185914773598
GAS7,-0.04507192,0.007618872262509295,0.013456150234032665
NR4A1,0.057237852,0.007643765573528566,0.013495348823320208
RASAL1,0.20244865,0.007689001368287197,0.01357042246432615
EYA4,-0.24125068,0.007691921923397836,0.013570786738528292
NOD2,-0.09727575,0.007702949842614018,0.01358544945787305
PCDHB1,-0.32848647,0.007760339122291178,0.013681839073150877
MACROD2,0.08015993,0.00781849533949491,0.013779512406582498
NPAS4,0.38506392,0.007843750824242154,0.013819152262583076
CCBE1,0.3516131,0.007901180453825091,0.013915428766863493
PCP4L1,0.16191103,0.007983087978006122,0.014054732355644582
KCNS2,0.28785467,0.008056283533736469,0.014178605304006456
KCND2,-0.06576005,0.008089923780725684,0.014232800458701064
USP12,0.064427346,0.0081272118801804,0.014293372986599367
PPM1L,0.06943895,0.008258055285421633,0.014518381303483884
PTTG1,-0.096150234,0.008362333115995036,0.014696543261854194
PLA2G2D,-0.41256607,0.00838506106638177,0.014731308971155604
ARL9,-0.39780012,0.00854633187360097,0.01500936402107652
DNAH5,-0.12563404,0.008580246371112259,0.015063634780744836
C13orf31,-0.08208248,0.008585508344176665,0.01506758221161226
PROKR2,0.47890782,0.008605501678047859,0.015097371364996245
CHST1,0.058091007,0.008618199026769672,0.015114344136740917
NR4A3,-0.09475734,0.008636266786226015,0.015140720172205496
PACSIN1,0.13294053,0.008639735787646152,0.015141492792930516
C5orf40,0.17139901,0.008644480655642753,0.015144500097482048
TROAP,-0.1758128,0.008756198409537383,0.015334848352955137
MYLK3,-0.12898922,0.008787784458626028,0.015384776713280859
BICC1,0.15268591,0.008883228614976105,0.015546427397578062
ARSF,0.22012174,0.00888960341862909,0.01555214034049876
PEG3AS,0.7890507,0.008911119057954584,0.015584328537870907
KIF19,-0.15243305,0.008934942578438338,0.01561506916888909
NTNG1,-0.10003429,0.008933702962817992,0.01561506916888909
CDC42EP5,-0.14328489,0.008951638319214162,0.01563878113070259
TDRG1,-0.24407518,0.009009241528603317,0.015733918142862936
GAD2,0.21391985,0.009055915441210963,0.015809908242337575
CCK,0.16467527,0.009081867248256851,0.015849681061530282
ADAM12,-0.13187952,0.009180482159228306,0.01601619357855601
MNX1,0.3519259,0.009201008999526444,0.016046405649679883
NR5A2,-0.18126668,0.009209185784215692,0.01605506587206362
GPR12,0.15825973,0.009212846458143771,0.016055849526217796
BEAN,0.10449318,0.009228456465401581,0.016077450288156065
HOXB8,-1.1019034,0.009339100320908273,0.016264183740842035
RAB36,-0.112631366,0.009342147140739665,0.016264183740842035
LRRC7,0.123314224,0.009363313280750688,0.016295358998869976
KIAA1045,0.10865877,0.009441674886924814,0.016426017548581792
TBR1,0.21721448,0.009462863960389032,0.016451432476336982
FAM189A2,-0.05769276,0.009461160977884369,0.016451432476336982
CAPN9,0.19285159,0.009520827300839464,0.01654644994932128
EMX2,0.09352928,0.009546972967870514,0.01658612398865621
PDE6B,-0.08646482,0.009571793869387649,0.016623469728009117
TPPP3,-0.07958372,0.009577364885134398,0.01662736959224722
TOM1L1,-0.19590306,0.009624145394638023,0.01670278617604655
KCNT2,0.062193576,0.009660828194832426,0.016760631843914686
DGKH,0.11360149,0.00969203112196301,0.016808933614226515
NUSAP1,-0.0975096,0.00971053643044368,0.016833948073665082
LOC285401,-0.29692453,0.009713188038504753,0.016833948073665082
C1QL2,0.13494499,0.009789888323715794,0.016960998481836093
DLX6AS,0.27894086,0.009800515238420992,0.016973528296537914
ZAP70,-0.15434657,0.009814020555030167,0.016991032816880483
AKR1B10,-0.50598276,0.009834768361502,0.017021059815683626
ANKRD9,-0.080241576,0.009863765012034205,0.01706533739106264
E2F8,-0.19956681,0.009911904862080746,0.017139872013535506
SSPO,0.09354539,0.009917129947031644,0.017139872013535506
SVOPL,-0.5385312,0.009915414548625883,0.017139872013535506
BIRC3,-0.11296481,0.009948273173972145,0.01718775600202513
SNHG11,0.068370245,0.010033472278916138,0.017328967666521828
LOC151009,0.23675597,0.010064404913176686,0.017376389698164168
LINGO2,0.2996939,0.010108595413100347,0.017446661051260522
CBR1,-0.06321534,0.010124541637029975,0.017468153272998575
PABPC1L2B,0.16602284,0.010168187221167845,0.01753740465879242
KLHDC7A,-0.60193324,0.010174631432692467,0.017542467987400806
KCNN3,-0.0649329,0.010192869189866881,0.017561800809556997
PPP1R1C,-0.1313112,0.010190125809588014,0.017561800809556997
OMD,0.15280673,0.010206042548343588,0.017578440489740936
OIP5,-0.12896007,0.010223452143384996,0.01760236250582816
MYSM1,-0.084151156,0.010269051975369923,0.01767478825364875
RASGRF2,0.08925876,0.01035955664913566,0.01782442644379845
POTEE,-0.2068479,0.010390389945809179,0.0178713277361699
CRABP2,-0.08225909,0.010438402562917478,0.017947734805566502
CRHR2,0.43587118,0.010492291601447898,0.018034189758418525
MYOZ2,-0.19642627,0.010507900517291497,0.01805481188538058
OPN4,0.40986454,0.010543394657076259,0.018109575158152282
MT1A,-0.28309003,0.010553985469818186,0.018121540985264743
COL15A1,-0.1520144,0.01060805067807733,0.01820811994177365
EMX2OS,0.08758262,0.01062178777106906,0.01822544229764767
BHMT,0.27149963,0.01077664324796713,0.01848480831555254
MASP1,-0.05045493,0.010863947852644948,0.018628168471613422
PARM1,0.07012733,0.010912535239825646,0.01870486951500161
UPK3BL,0.12815988,0.01091616184895494,0.01870486951500161
PTPN20B,0.20754226,0.010938913679867232,0.018737433504397452
WDR69,-0.44808584,0.010945225091538372,0.018741823786880774
CHRM2,0.3243414,0.010988936197272325,0.018810229711181656
KIF23,-0.14646733,0.01101158210898341,0.018842542965406245
C4orf50,0.30114588,0.011032232838158245,0.018871421207934048
COX4I2,0.12097125,0.011048069963291078,0.018892048500839736
PDLIM1,-0.09528831,0.011086236023099437,0.018950830808716988
ZNF233,0.09105583,0.011092913206084312,0.018955764193582213
COL24A1,0.21632195,0.011104572007996059,0.018969203976761287
ALDH1A2,-0.10088763,0.011147362289387723,0.019035796259200346
DNAH9,-0.089821815,0.011208650229274655,0.01913391981781266
RTP1,-0.17974028,0.011219063429104444,0.019145159435331818
TUBA8,0.085511364,0.011247175575443403,0.019186584059098264
LHX6,0.14872606,0.011359083207579555,0.01937087859409883
CCDC154,0.14459398,0.011379655790361874,0.01939934502277851
BARX1,-0.48749965,0.011418369859208867,0.01945870800819507
CAPSL,-0.52886575,0.011430480836647028,0.019472710113538377
ATOH7,0.15861154,0.0114360029073648,0.01947548179047139
CYP7B1,0.11157875,0.011459325648553073,0.019508555751707648
CPB1,-0.27273315,0.011498526191019912,0.01956862864366901
YJEFN3,0.06722689,0.01152440908173111,0.019606003881815433
SOCS7,0.08190581,0.011588314577550277,0.019708017989031084
PCDP1,-0.13671122,0.011623674057501674,0.019761431583647866
SDR16C5,0.31433085,0.011657308686306357,0.019811877441037316
ZDHHC20,0.091324806,0.011663878302418313,0.019816307003768796
RFPL3S,-0.12520978,0.01167136058288737,0.019822283598653824
MLC1,-0.03931651,0.011733236346789322,0.0199206050030379
SLC6A7,0.25463942,0.011783139773385564,0.01999854000914047
MEOX2,-0.34944344,0.011801704313762557,0.020023251295830602
COL21A1,-0.17955953,0.011809546619929076,0.020029760210191785
STAG3L1,0.076245084,0.011845168259896762,0.020083364292805633
COL10A1,0.23629849,0.012022908903226178,0.020377811700383355
NR2F2,-0.06267971,0.012040937887819582,0.020401453554421523
FOXD2,-0.18134849,0.01211112080726774,0.020513416001469748
SYTL4,-0.052240282,0.012115554498262114,0.02051397646166968
VSNL1,0.13118203,0.012156003812850818,0.020575497313559274
LMNB1,-0.053115048,0.0121602068592541,0.02057564612394941
GFI1B,-0.28430253,0.012256830365817402,0.020732121728378558
SYT12,0.06392595,0.01243788162366055,0.021031250631823723
CDKN2B,-0.07566237,0.012445574678419108,0.021037144486847716
RGPD8,0.7018285,0.012506298286298782,0.021132643268500815
PKD2L1,0.22211078,0.012700199805055108,0.02145304021124174
SORBS2,0.052413654,0.012708306058353222,0.021459483381211116
DRD5,0.29665175,0.012717681053776875,0.021460818518017
ROPN1B,-0.23498388,0.012714335669437178,0.021460818518017
MLPH,0.29042643,0.012751099882552418,0.021509952568408264
MRO,0.048546575,0.012777835432743676,0.021547783191810582
MAP3K15,-0.2799304,0.012797398482908664,0.02157349710537536
AMT,0.05808192,0.01281293779101772,0.021592412859820897
GJB2,-0.19853328,0.012916183901347517,0.021759069914668996
GLB1L2,-0.075082414,0.012968636894082496,0.021840075604719594
TRIB3,0.060388036,0.013007526611806954,0.021898192949169958
KCNS1,0.23837836,0.013025840878693108,0.0219216440233812
SKAP1,-0.34246576,0.013087307637726952,0.02201767772161331
KIF20A,-0.17579114,0.013128051304695867,0.022078794659764325
GOLGA6L6,0.58626187,0.013247939249565032,0.022272930816350088
HES4,-0.08189179,0.013257826325405439,0.02228206105110158
CCNB2,-0.15396737,0.013297207882403975,0.02234073904973786
LOC284233,0.28093994,0.013331261254563265,0.022390428711056877
RANBP3L,-0.070426166,0.013396807504135917,0.02249296088672921
PCDHA6,0.13333102,0.013430981454690865,0.022542768470444553
IGSF3,-0.06609588,0.013488033991522421,0.022630929515977217
MYOM1,0.072839655,0.0135389673532606,0.022701152503790407
MMP25,0.082661524,0.013538656062513515,0.022701152503790407
MLF1IP,-0.09510468,0.01365941531507276,0.022895432978667047
CALML3,0.58999765,0.01370339739650713,0.022961456763584333
LOC286367,-0.09369399,0.013714796015283177,0.022972857647040497
XG,-0.43643293,0.013894096037490818,0.02326539858923446
MELK,-0.17014258,0.013923074951392453,0.023293924804755114
PIR,-0.07086722,0.013929767033243558,0.023293924804755114
LRFN2,0.11214708,0.013923814895102856,0.023293924804755114
NRGN,0.10338163,0.013927933607186966,0.023293924804755114
NMU,0.31978953,0.01404658976105099,0.02348142721673519
SLC2A4,-0.10638425,0.014089557844446732,0.023545384098340127
CLSPN,-0.16384955,0.01411902058275793,0.02358673669020703
EDN3,0.06457372,0.014131135346918414,0.023599090425715452
SVIL,-0.062873706,0.014195217704589654,0.023698193162920957
GNB3,0.09057637,0.01422895460744064,0.02372283195638653
EPHA7,-0.1430112,0.01422566204661951,0.02372283195638653
PCDHAC1,0.10301017,0.014218211089565733,0.02372283195638653
ADAMTSL5,0.17571872,0.014221925317513987,0.02372283195638653
TMEM233,0.24610385,0.014256405182531014,0.023760675304218357
GPAT2,-0.12277663,0.014268619403908523,0.02377310797052403
LOC146481,-0.38095915,0.014296557525746139,0.023811721395313356
GTSE1,-0.11838618,0.014424179422347664,0.024016282754491615
FAM166B,-0.14924546,0.014487365285063804,0.0241134575317307
ADAMTS6,0.061769836,0.014619149777013335,0.024324708447609544
FMO2,-0.1200627,0.014712684005974775,0.024472195618720518
C20orf200,0.3532937,0.014802452219714303,0.02461332261342584
OCA2,0.3603973,0.014847158963784676,0.024679453064801654
CSPG4,0.04679346,0.014902822523348146,0.024763746300013535
DMBT1,0.15941575,0.014915600618455841,0.024773995809745167
DMKN,-0.20556054,0.014918900276628538,0.024773995809745167
FCGR3B,-0.1891849,0.014928870483068372,0.024782321519037802
SELL,0.095270805,0.015006051472240546,0.02490217635619075
SGOL1,-0.18933699,0.015261466865665494,0.02531762917330042
CST3,-0.03353283,0.015299473411513442,0.025372261047285974
ANGPTL6,-0.11416541,0.015305978308024458,0.02537463247351535
GDF10,0.13350223,0.01532004016599855,0.025389526294329712
KCNJ1,-0.2198159,0.015464457840043504,0.025615020443909852
CD38,-0.08518396,0.015466349344032768,0.025615020443909852
POU3F1,-0.10920582,0.01554090265373708,0.025729971281021658
XKR9,-0.18214194,0.01559887071437142,0.025817396084692853
DNAI2,-0.26520666,0.015617355154598523,0.025839436059891665
F13A1,-0.11462433,0.01565899102225405,0.02589975359287802
CSF3,0.5039561,0.015677298582588813,0.02592145929660849
AGR3,-1.1732801,0.015799181355386115,0.026114349347745647
C6orf176,0.39850327,0.01582297262743542,0.02614503077897459
HMX1,0.117815875,0.01587445281642254,0.026221428504166734
MEPE,0.33904845,0.015894510336771965,0.0262458889312615
ATF3,-0.06948886,0.01594574207129431,0.026321792788534682
LAG3,-0.11641104,0.01595455489316083,0.026327648338549225
C6orf27,0.18614735,0.016020799448971026,0.02642824059546524
PCDHA8,0.16871755,0.01603296588173034,0.026439587535834995
AK3L1,-0.059684522,0.016045945784331654,0.02645226802560444
KRT31,0.46351117,0.016071539337828702,0.0264770005565547
ZSCAN23,0.0846514,0.016068310214978357,0.0264770005565547
C2orf70,-0.5445029,0.01612450479174667,0.02655550855030743
POTEF,-0.14287399,0.016141272910679943,0.02657437094283823
DUSP1,-0.048737966,0.016418520270737563,0.027021922762899213
CD8A,-0.14145358,0.016568699826338584,0.027260118174298426
CPXM2,-0.13542268,0.016615496265059256,0.027328118857005358
POSTN,-0.37903273,0.01669088752334093,0.027443090304736815
CCL3L3,-0.2237709,0.01670681839711214,0.027460253775660977
KCNK1,0.08363173,0.01673300025145334,0.027494249509453398
CYP27B1,-0.16028519,0.016794605420516126,0.027586408377983124
SLC30A3,0.20410213,0.016842298109116444,0.027655661919731435
HOTAIR,-1.0096378,0.01687071972165295,0.027693236575267483
NCRNA00092,-0.13006312,0.016936113233662734,0.02779145591346034
C1orf106,0.059240475,0.01695408345475332,0.027811816690868307
PRRG3,0.34951085,0.017058552346952565,0.027974011720158357
GSDMB,-0.074506775,0.01715934951675977,0.02813008117501602
NHLH1,-0.12044564,0.01728373070121824,0.028324697969875846
SYNPR,0.15265265,0.01730681405261614,0.02835323403115357
KRT83,0.2874603,0.01732792672463959,0.02837852395126038
C13orf30,-0.6640792,0.017347336940407458,0.028401010053057396
SLIT2,0.13710324,0.017484559208424028,0.02861629985012116
VSTM2B,0.08693182,0.01751205217195143,0.028651917820601162
LGALS4,-0.24072102,0.017594700029725813,0.028777723306715425
C13orf36,0.20807847,0.017686680663601632,0.02891870612099678
ST6GALNAC5,0.15675664,0.017733544550096195,0.02898585248462928
CCDC150,-0.11846413,0.017769537880634498,0.029035192615415848
NEFL,0.13260704,0.017811118065576084,0.029093626373041626
CRYM,0.1574794,0.017940829891780512,0.02929593385333199
HCN1,0.18056025,0.018167869699395545,0.029656986123727625
KMO,-0.19940151,0.018256904810854045,0.029792599234422394
KLHDC9,0.07160557,0.018266803563984583,0.029799027021182027
ITPR1,0.06366548,0.0184180520584156,0.03003596226095173
QPRT,0.0523576,0.018449411733993438,0.03007729333875683
CECR7,0.15660143,0.018749510212900534,0.030546611620887152
STOML3,-1.0628111,0.018747748733165395,0.030546611620887152
WBSCR17,0.09642627,0.018916319741383,0.03080833834101466
BAI1,0.05569733,0.018930977927878585,0.030822171813543773
CNGA1,-0.19763213,0.019218919951179882,0.03128079419137351
LOC645752,-0.41377443,0.019281133042071002,0.03137184028973479
BHLHE22,0.20401347,0.01932739444318851,0.03143688100713811
S100A14,-0.2452403,0.019402776790509967,0.03154923055367474
DUSP6,0.046396982,0.019432022741262153,0.03158651290842353
KLRC2,0.12526856,0.019514941974890974,0.031710987934499474
KRT75,-0.6643593,0.019538921135125377,0.03173963797128879
ARHGAP20,0.06705517,0.019645843623441964,0.031902961389155514
PLCXD3,-0.09613534,0.019716659439646466,0.03200756402540011
DMRTC1,0.3291536,0.019750590299661544,0.032052240018924934
PRKG2,0.19077401,0.019786101183465098,0.03209945033008615
ATP13A4,-0.049932383,0.019845642544911547,0.03218560257040471
PCDH11X,0.103933185,0.01986353357368942,0.03220417246058596
GPRIN2,0.19260511,0.019910744553348323,0.03225979350834142
VWC2,0.10300728,0.019910717006610103,0.03225979350834142
HIST3H2A,0.075789556,0.019919165851506035,0.03226298323859093
KCNA3,0.14766811,0.01993644688743943,0.03228051633328923
TPD52L1,0.06259644,0.02001808759031121,0.03240221364569636
PEX5L,0.086081944,0.020094073847030467,0.03251468260037292
UNC13C,0.17411423,0.020109005019821657,0.03252831611100236
CHN2,0.05166118,0.02013311042007183,0.03254625027493021
B3GNT4,0.20018187,0.020127284183648526,0.03254625027493021
CNTNAP3,-0.07670734,0.020235298056230824,0.03270086951556371
ADAD2,0.16752058,0.0202524391099196,0.03271799533104943
SAA1,-0.7052713,0.020286814988516078,0.03276294410290064
ARHGAP28,0.09136904,0.020484926174574855,0.03307220887080216
SLC5A5,0.2873542,0.020502015423697065,0.03308911462830385
MKX,-0.12302327,0.020620090400722192,0.033268942240597274
AFP,-0.677972,0.020630951600810615,0.033275728388404216
SPRY1,-0.06264998,0.020669587957894635,0.03332729435326449
CXCR2P1,0.32143065,0.02091296969684706,0.03370884864095271
ENC1,0.061917134,0.020979965181795946,0.033795047006758935
C9orf102,0.06515379,0.020975941367668158,0.033795047006758935
GAS1,-0.05126972,0.021107932685317767,0.033990229767017335
IPMK,0.097855,0.02125922903547632,0.03422284133206105
EMX1,0.23141265,0.02135042988617235,0.03435859331537231
DPP4,-0.14723754,0.02138244074439194,0.03439903594657648
ADAM33,-0.11018034,0.02157713637345775,0.034701087766898925
CCL3,-0.11604614,0.021764838290934438,0.03499170143237048
PCDHB6,0.07095408,0.021802082263016043,0.03504031221956934
HAS1,0.22844926,0.021811710421280012,0.035044521885089996
KIF15,-0.07403273,0.02182762167631253,0.03505882055302365
DRD1,0.18879014,0.02193620824354284,0.03521965974036549
KCNH5,0.30021793,0.021941848018247702,0.03521965974036549
SALL4,0.19728525,0.021995757374223553,0.035294860998433174
VSTM2L,0.08247426,0.022034587057263393,0.035328484003502234
LOC643763,-0.050391085,0.022037908321384695,0.035328484003502234
C6orf147,-0.14649425,0.02202885194355237,0.035328484003502234
KRTAP5-2,0.32645142,0.02212110975349829,0.03545049639983701
SNX10,-0.0636986,0.02219260540964348,0.035542289253112556
GPRIN3,-0.08256764,0.022185753387477688,0.035542289253112556
CARTPT,0.489991,0.022205433766015296,0.035551446951673546
PDZRN4,0.07343897,0.02232259697315618,0.03572758798520515
FMO1,0.3179687,0.022331016060978308,0.03572962569756529
TMPRSS2,-0.20218858,0.02236097426040833,0.03576611366028204
KIAA1522,-0.050746072,0.02242817783858851,0.03586213277676449
LINGO3,0.14950603,0.02259058478546955,0.036098729283268696
SPHK1,-0.073373094,0.02258715127183119,0.036098729283268696
HIPK4,0.24462341,0.022734219062636448,0.036316643870026276
ACACB,-0.050389662,0.02285768753967827,0.03648898915359814
EYA2,-0.07934675,0.022864000603644595,0.03648898915359814
HSPG2,-0.05712625,0.02286083727583776,0.03648898915359814
GSX2,-0.39954418,0.022978577893456628,0.03666014341649111
POLR2J2,-0.06703711,0.023005345104250053,0.03669114051714522
EVC,-0.086910814,0.023020225475105627,0.03670316561719647
OCIAD2,-0.095031664,0.023066627713399023,0.036765425109019804
IL7R,-0.26838773,0.02311747370339353,0.03683472546748491
FAM64A,-0.13237824,0.023133298705486523,0.036848198001730684
SOX10,-0.087423086,0.023273596661787924,0.03705986729584064
CHP2,0.28190613,0.023454675151693815,0.03732443531459869
ANKRD36BP1,-0.087514736,0.02345173252537783,0.03732443531459869
SEMA5A,0.038517162,0.02364820238282015,0.03762043013493501
TP63,-0.19593488,0.02368296356536823,0.03765177037419432
MAN1A1,-0.060977288,0.02367655972144207,0.03765177037419432
PTPRU,0.050481744,0.02384098311188664,0.037890945823087475
KISS1R,0.40818915,0.023850887593119496,0.037894641870224816
GADD45B,-0.051287986,0.024045203461858265,0.03819123802709381
NR0B1,0.16490372,0.024114249670928543,0.03828874193542163
SLC26A10,0.067087516,0.024186168396295362,0.03839074348618311
HSPB3,0.24341197,0.024228537870543528,0.03844579160670188
LGI4,-0.0673281,0.024303746594047486,0.038552897515938274
RBP4,0.16005436,0.02440787071825737,0.038705789277287295
COL25A1,0.15149832,0.024486662204665124,0.03881842454766189
DCLK3,0.20745692,0.024499172921282838,0.03882594757731036
PPP4R4,0.11343537,0.02459484246196737,0.03896521302593056
AGAP8,0.07490942,0.02462361426035708,0.038986089709241736
HRASLS,-0.08515304,0.024616995634943163,0.038986089709241736
NR2E1,0.0720598,0.024792943177993704,0.03924175874959434
CHD5,0.0914412,0.024977508400046956,0.03952137405070721
SLC10A6,-0.31948993,0.025026177830733746,0.03957333622823173
NOTUM,0.12694798,0.025025179048026355,0.03957333622823173
BRCA2,-0.10921547,0.02504619345464532,0.03959246515119399
ULBP3,-0.23986128,0.025066904010536968,0.03961268016835804
LOC116437,0.35473943,0.02523843760010594,0.03987114944724477
EMID2,0.09954735,0.02543109917320967,0.04016282244663562
