gene,log2FC,p_value,q_value
PTPRC,-0.2448827,7.777689800453409e-20,1.966407487738848e-18
CXorf21,-0.38088816,7.786973651445839e-20,1.966407487738848e-18
PTPLAD2,-0.26663622,8.07786098305143e-20,2.0194652457628574e-18
LST1,-0.2226655,8.077837611061303e-20,2.0194652457628574e-18
OLFML3,-0.17856525,8.124006015137844e-20,2.0208970186910058e-18
PYCARD,-0.24303877,8.367135773796724e-20,2.071073211335823e-18
SP140L,-0.26461214,9.263814829980499e-20,2.281727790635591e-18
PTPN7,-0.5108386,9.550636952777477e-20,2.3408423903866363e-18
CYTL1,-0.33024803,1.0008814213767083e-19,2.432410207129425e-18
HK2,-0.18182169,1.002153005337323e-19,2.432410207129425e-18
CD300C,-0.37719557,1.0582016398783087e-19,2.5560426084017116e-18
C17orf102,0.5061514,1.0669494252338534e-19,2.564782272196763e-18
PLXDC2,-0.21051879,1.2344860152778894e-19,2.953315826023659e-18
CSF2RB,-0.31034353,1.31702277193323e-19,3.1357685046029285e-18
ANKRD58,-0.43163538,1.4023714826943294e-19,3.323155172261444e-18
FAM19A2,0.33004332,1.440264581588066e-19,3.3968504282737404e-18
RBM47,-0.2848079,1.4514602711611065e-19,3.4071837351199684e-18
LILRA2,-0.30913037,1.4854245164000793e-19,3.470618028972148e-18
WSCD2,0.50347793,1.564184934794426e-19,3.637639383242851e-18
TSPO,-0.17969422,1.585336382191606e-19,3.6697601439620506e-18
RUNX2,-0.2610286,1.604042405762124e-19,3.69595024369153e-18
PYGL,-0.18985948,1.6314814245487599e-19,3.7419298728182564e-18
ECM2,-0.29016376,1.862234640805769e-19,4.251677262113628e-18
NOG,0.29265034,1.8715425986276512e-19,4.2535059059719346e-18
NFAM1,-0.21398619,1.9321364770837757e-19,4.3713494956646505e-18
CD74,-0.16318057,2.084330224994636e-19,4.673386154696493e-18
FOXD3,-1.1866728,2.0841358340625363e-19,4.673386154696493e-18
CMTM7,-0.25125006,2.099559532593447e-19,4.6865168138246585e-18
PTAFR,-0.34102,2.203708350324272e-19,4.897129667387272e-18
FGD2,-0.21786311,2.357824453576955e-19,5.216425782249901e-18
DKFZp686O24166,0.34226865,2.409329844209214e-19,5.306893929976242e-18
APOC2,-0.25977167,2.4932158025015756e-19,5.467578514257841e-18
CARD16,-0.46728915,2.741176454070151e-19,5.985101428100766e-18
HTR6,1.0971481,2.768185330968453e-19,6.017794197757506e-18
FCGR2A,-0.21656948,2.8394984857016076e-19,6.1461006184017485e-18
RAB3C,0.486148,2.8689384034351407e-19,6.183056903955045e-18
C3AR1,-0.21753663,3.0012882934018385e-19,6.4405328184588804e-18
S100A11,-0.20919067,3.24046602289319e-19,6.924072698489722e-18
ANO5,0.26236945,3.618576926956509e-19,7.699099844588317e-18
PIK3R5,-0.23478727,3.7181466747854346e-19,7.877429395731853e-18
FCGR3A,-0.23697641,4.1432578063333737e-19,8.704323122549104e-18
GPR65,-0.45650274,4.131677411131297e-19,8.704323122549104e-18
SP100,-0.18941425,4.248770739932814e-19,8.888641715340615e-18
LOC285696,0.62156844,4.661828350561246e-19,9.712142397002596e-18
TMC8,-0.21498851,4.728914601281259e-19,9.811026143737052e-18
AQP7P1,-0.90201306,4.928471922793417e-19,1.018279322891202e-17
FGF20,-0.6621913,5.12578239493358e-19,1.0546877355830412e-17
TRPC3,0.34159863,5.209589530122315e-19,1.0639543236327301e-17
IRF8,-0.20735306,5.213376185800378e-19,1.0639543236327301e-17
CHRDL2,1.0399771,5.388410786962211e-19,1.0952054445045144e-17
RNASE2,-0.58693767,5.8810468123225e-19,1.1904953061381579e-17
FBP1,-0.3178488,5.914690624322477e-19,1.1924779484521124e-17
C7orf31,-0.26779956,6.249666862049372e-19,1.2499333724098744e-17
HOXC4,-0.64183533,6.230626246595614e-19,1.2499333724098744e-17
HOXA13,-1.7832282,6.310704493938875e-19,1.2571124489918078e-17
CELSR1,-0.4883343,6.588895694009378e-19,1.3073205742082099e-17
SPN,-0.28521293,7.006838893561496e-19,1.3847507694785565e-17
