class,direction,rank,gene,coef
Oligoastrocytoma,positive,2,PCDHGA7,0.12176524249713024
Oligoastrocytoma,positive,3,SIGLEC14,0.1117649804998444
Oligoastrocytoma,positive,4,PRAME,0.11064563320428307
Oligoastrocytoma,positive,5,RGPD5,0.10255643881286498
Oligoastrocytoma,positive,6,PCDHA12,0.10230473289776916
Oligoastrocytoma,positive,7,CT45A1,0.09986141333523539
Oligoastrocytoma,positive,8,PRG4,0.09938581245719329
Oligoastrocytoma,positive,9,POLR2J2,0.09755551445258372
Oligoastrocytoma,positive,10,PCDHB4,0.09414734181134807
Oligoastrocytoma,positive,11,TNFRSF10C,0.09160564162286665
Oligoastrocytoma,positive,12,GTF2H2B,0.09000485547401865
Oligoastrocytoma,positive,13,RAX,0.08807513662614656
Oligoastrocytoma,positive,14,CT45A3,0.08645127666628066
Oligoastrocytoma,positive,15,LOXL4,0.08544341523268632
Oligoastrocytoma,positive,16,KCNJ6,0.08509760378078281
Oligoastrocytoma,positive,17,PCDHGB7,0.08194410782845446
Oligoastrocytoma,positive,18,MAB21L1,0.0815852730383458
Oligoastrocytoma,positive,19,PCDHGB3,0.08060844446727214
Oligoastrocytoma,positive,20,EPPK1,0.07992640044476673
Oligoastrocytoma,positive,21,TTLL2,0.07930563776470448
Oligoastrocytoma,positive,22,GZMB,0.07918057203801138
Oligoastrocytoma,positive,23,ZSCAN12P1,0.07881918951206954
Oligoastrocytoma,positive,24,DEFA1B,0.07762429987745972
Oligoastrocytoma,positive,25,CA9,0.07753018718327002
Oligoastrocytoma,negative,1,DAZ1,-0.12381591280796975
Oligoastrocytoma,negative,2,PCDHGB5,-0.11206743286201762
Oligoastrocytoma,negative,3,ADAM32,-0.11194201825817075
Oligoastrocytoma,negative,4,KRT13,-0.11037282106984048
Oligoastrocytoma,negative,5,HCG4,-0.09779318820772807
Oligoastrocytoma,negative,6,PCDHA2,-0.09441525405289931
Oligoastrocytoma,negative,7,NEK5,-0.09110355664765159
Oligoastrocytoma,negative,8,RGPD8,-0.09022331138280185
Oligoastrocytoma,negative,9,SHH,-0.08977398451404334
Oligoastrocytoma,negative,10,GBP3,-0.08739074476226392
Oligoastrocytoma,negative,11,FAM3B,-0.08704685912193101
Oligoastrocytoma,negative,12,BARHL1,-0.08681215145526491
Oligoastrocytoma,negative,13,PSCA,-0.0866993535953927
Oligoastrocytoma,negative,14,KRT7,-0.0865888170121863
Oligoastrocytoma,negative,15,TFAP2B,-0.0859603247348972
Oligoastrocytoma,negative,16,CHRDL2,-0.08458357501237802
Oligoastrocytoma,negative,17,CHODL,-0.08385778062135284
